"REF_DATE","GEO","DGUID","Hours worked","Job","Type of work","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1978-12","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.8","","","","1"
"1979-01","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.7","","","","1"
"1979-02","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.7","","","","1"
"1979-03","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.7","","","","1"
"1979-04","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.9","","","","1"
"1979-05","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.4","","","","1"
"1979-06","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.7","","","","1"
"1979-07","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","39.2","","","","1"
"1979-08","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","39.3","","","","1"
"1979-09","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.6","","","","1"
"1979-10","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.1","","","","1"
"1979-11","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.8","","","","1"
"1979-12","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.5","","","","1"
"1980-01","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.3","","","","1"
"1980-02","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.4","","","","1"
"1980-03","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.3","","","","1"
"1980-04","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.6","","","","1"
"1980-05","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.2","","","","1"
"1980-06","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.4","","","","1"
"1980-07","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.9","","","","1"
"1980-08","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","39.1","","","","1"
"1980-09","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.1","","","","1"
"1980-10","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.9","","","","1"
"1980-11","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.5","","","","1"
"1980-12","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.4","","","","1"
"1981-01","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.2","","","","1"
"1981-02","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.2","","","","1"
"1981-03","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.1","","","","1"
"1981-04","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.5","","","","1"
"1981-05","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.0","","","","1"
"1981-06","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.2","","","","1"
"1981-07","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.8","","","","1"
"1981-08","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","39.0","","","","1"
"1981-09","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.0","","","","1"
"1981-10","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.7","","","","1"
"1981-11","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.3","","","","1"
"1981-12","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.0","","","","1"
"1982-01","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.9","","","","1"
"1982-02","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.9","","","","1"
"1982-03","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.9","","","","1"
"1982-04","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.1","","","","1"
"1982-05","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.7","","","","1"
"1982-06","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.9","","","","1"
"1982-07","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.3","","","","1"
"1982-08","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","38.5","","","","1"
"1982-09","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.9","","","","1"
"1982-10","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.4","","","","1"
"1982-11","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","37.0","","","","1"
"1982-12","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.7","","","","1"
"1983-01","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.6","","","","1"
"1983-02","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.5","","","","1"
"1983-03","Canada","2016A000011124","Average usual hours","Main job","Both full- and part-time employment","Both sexes","15 years and over","Hours","152","units","0","v3494715","1.2.1.1.1.1","36.5","","","","1"
